SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,Unnamed: 7
SHUBHLAXMI.NS,Shubhlaxmi Jewel Art Limited,ST,04-Dec-18,10,INE01Z401013,10,
UWCSL.NS,Ultra Wiring Connectivity System Limited,ST,26-Oct-18,10,INE00F301010,10,
PARIN.NS,Parin Enterprises Limited,ST,09-Oct-18,10,INE00U801010,10,
SPECTRUM.NS,Spectrum Electrical Industries Limited,SM,01-Oct-18,10,INE01EO01010,10,
UCL.NS,Ushanti Colour Chem Limited,SM,02-Aug-18,10,INE00NI01015,10,
AMBANIORGO.NS,AMBANI ORGOCHEM LIMITED,ST,18-Jul-18,10,INE00C501018,10,
JAKHARIA.NS,JAKHARIA FABRIC LIMITED,ST,11-Jul-18,10,INE00N401018,10,
MAHICKRA.NS,Mahickra Chemicals Limited,SM,26-Apr-18,10,INE961Y01015,10,
VERA.NS,Vera Synthetic Limited,ST,12-Apr-18,10,INE709Z01015,10,
CONTI.NS,Continental Seeds and Chemicals Limited,ST,04-Apr-18,10,INE340Z01019,10,
GIRIRAJ.NS,Giriraj Civil Developers Limited,SM,02-Apr-18,10,INE614Z01017,10,
MDL.NS,Marvel Decor Limited,SM,23-Mar-18,10,INE575Z01010,10,
MHHL.NS,Mohini Health & Hygiene Limited,SM,16-Feb-18,10,INE450S01011,10,
AMJUMBO.NS,A and M Jumbo Bags Limited,ST,12-Feb-18,10,INE749Y01014,10,
VASA.NS,Vasa Retail and Overseas Ltd,SM,06-Feb-18,10,INE068Z01016,10,
SOLEX.NS,Solex Energy Limited,SM,05-Feb-18,10,INE880Y01017,10,
SMVD.NS,SMVD Poly Pack Limited,SM,26-Dec-17,10,INE702Y01013,10,
FELIX.NS,Felix Industries Limited,ST,05-Dec-17,10,INE901X01013,10,
PULZ.NS,Pulz Electronics Limited,ST,24-Nov-17,10,INE335X01014,10,
AISL.NS,ANI Integrated Services Limited,ST,20-Nov-17,10,INE635Y01015,10,
MILTON.NS,Milton Industries Limited,SM,16-Oct-17,10,INE376Y01016,10,
OMFURN.NS,Omfurn India Limited,ST,13-Oct-17,10,INE338Y01016,10,
BETA.NS,Beta Drugs Limited,SM,12-Oct-17,10,INE351Y01019,10,
CMMIPL.NS,CMM Infraprojects Limited,SZ,12-Oct-17,10,INE289S01013,10,
GOLDSTAR.NS,Goldstar Power Limited,SM,10-Oct-17,1,INE405Y01021,1,
TIRUPATI.NS,Shree Tirupati Balajee FIBC Limited,SM,05-Oct-17,10,INE238Y01018,10,
CADSYS.NS,Cadsys (India) Limited,ST,04-Oct-17,10,INE090Y01013,10,
RMDRIP.NS,R M Drip and Sprinklers Systems Limited,ST,04-Oct-17,10,INE219Y01018,10,
MPTODAY.NS,Madhya Pradesh Today Media Limited,SM,29-Sep-17,10,INE105Y01019,10,
MANAV.NS,Manav Infra Projects Limited,SM,18-Sep-17,10,INE104Y01012,10,
PASHUPATI.NS,Pashupati Cotspin Limited,ST,08-Sep-17,10,INE124Y01010,10,
TRANSWIND.NS,Transwind Infrastructures Limited,ST,12-Jul-17,10,INE792X01016,10,
ACCORD.NS,Accord Synergy Limited,SM,06-Jul-17,10,INE113X01015,10,
VSCL.NS,Vadivarhe Speciality Chemicals Limited,ST,02-Jun-17,10,INE551Q01028,10,
JALAN.NS,Jalan Transolutions (India) Limited,ST,31-May-17,10,INE349X01015,10,
ASLIND.NS,ASL Industries Limited,SM,18-Apr-17,10,INE617I01024,10,
PROLIFE.NS,Prolife Industries Limited,SM,09-Jan-17,10,INE994V01012,10,
GICL.NS,Globe International Carriers Limited,ST,19-Oct-16,10,INE947T01014,10,
DRL.NS,Dhanuka Realty Limited,SM,18-Oct-16,10,INE704V01015,10,
AURDIS.NS,Aurangabad Distillery Limited,SM,17-Oct-16,10,INE448V01019,10,
GRETEX.NS,Gretex Industries Limited,ST,14-Oct-16,10,INE985P01012,10,
JETKNIT.NS,Jet Knitwears Limited,ST,07-Oct-16,10,INE564T01017,10,
AVSL.NS,AVSL Industries Limited,ST,06-Oct-16,10,INE522V01011,10,
KKVAPOW.NS,KKV Agro Powers Limited,SM,15-Jul-16,10,INE239T01016,10,
PERFECT.NS,Perfect Infraengineers Limited,ST,20-Nov-15,10,INE925S01012,10,
AHIMSA.NS,Ahimsa Industries Limited,ST,15-Oct-15,10,INE136T01014,10,
SHAIVAL.NS,Shaival Reality Limited,ST,01-Oct-15,10,INE262S01010,10,
EMKAYTOOLS.NS,Emkay Taps and Cutting Tools Limited,SM,13-Aug-15,10,INE332S01011,10,
